symbol,price,timestamp
AMD,214.24,2025-11-26
AMZN,229.16,2025-11-26
AVGO,397.57,2025-11-26
GOOGL,319.95,2025-11-26
IVV,69.51,2025-11-26
MA,544.93,2025-11-26
META,633.61,2025-11-26
MSFT,485.5,2025-11-26
NDQ,56.9,2025-11-26
NVDA,180.26,2025-11-26
STW,77.62,2025-11-26
TSM,289.96,2025-11-26
UBER,85.66,2025-11-26
