symbol,price,timestamp
NVDA,0.4591,2015-01-07
NWH,0.2589,2015-01-07
RMD,6.1419,2015-01-07
SDF,1.0632,2015-01-07
SHL,12.8526,2015-01-07
STW,31.0672,2015-01-07
TCL,5.3826,2015-01-07
TLS,3.6799,2015-01-07
TSM,16.5834,2015-01-07
VAP,41.7263,2015-01-07
VEU,39.5886,2015-01-07
WBC,17.9396,2015-01-07
WDS,18.5638,2015-01-07
WES,16.2195,2015-01-07
AGL,7.898,2015-01-08
ALX,1.7665,2015-01-08
AMAT,21.115,2015-01-08
AMD,2.61,2015-01-08
AMZN,15.023,2015-01-08
ANZ,19.6539,2015-01-08
ASX,24.9171,2015-01-08
AUB,6.8242,2015-01-08
AVGO,7.9508,2015-01-08
AX1,0.4032,2015-01-08
AZJ,2.574,2015-01-08
AZN,24.4655,2015-01-08
CBA,51.7496,2015-01-08
CCJ,14.3247,2015-01-08
CHC,2.9933,2015-01-08
CME,58.2029,2015-01-08
CSL,73.8475,2015-01-08
DXS,4.0532,2015-01-08
EQIX,172.0577,2015-01-08
FTNT,6.242,2015-01-08
GNE,0.9436,2015-01-08
GOOG,24.8786,2015-01-08
GOOGL,25.1554,2015-01-08
IAA,46.0513,2015-01-08
IEU,37.3767,2015-01-08
IOO,37.9508,2015-01-08
IVV,14.1176,2015-01-08
IXI,40.6258,2015-01-08
MA,79.9968,2015-01-08
MAQ,4.4064,2015-01-08
META,77.6327,2015-01-08
MSFT,40.5192,2015-01-08
NAB,17.4403,2015-01-08
NVDA,0.4765,2015-01-08
NWH,0.2517,2015-01-08
RMD,6.1771,2015-01-08
SDF,1.081,2015-01-08
SHL,12.7763,2015-01-08
STW,31.1549,2015-01-08
TCL,5.4695,2015-01-08
TLS,3.7232,2015-01-08
TSM,16.6905,2015-01-08
VAP,42.1613,2015-01-08
VEU,40.0042,2015-01-08
WBC,18.0054,2015-01-08
WDS,18.4713,2015-01-08
WES,16.3682,2015-01-08
AGL,7.9911,2015-01-09
ALX,1.7832,2015-01-09
AMAT,21.1368,2015-01-09
AMD,2.63,2015-01-09
AMZN,14.8465,2015-01-09
ANZ,19.9495,2015-01-09
ASX,25.2362,2015-01-09
AUB,6.8378,2015-01-09
AVGO,8.0354,2015-01-09
AX1,0.406,2015-01-09
AZJ,2.6075,2015-01-09
AZN,24.5966,2015-01-09
CBA,52.1435,2015-01-09
CCJ,14.0658,2015-01-09
CHC,3.0259,2015-01-09
CME,58.2554,2015-01-09
CSL,74.914,2015-01-09
DXS,4.07,2015-01-09
EQIX,167.5087,2015-01-09
FTNT,6.214,2015-01-09
GNE,0.9344,2015-01-09
GOOG,24.5564,2015-01-09
GOOGL,24.8483,2015-01-09
IAA,46.2254,2015-01-09
IEU,37.7081,2015-01-09
IOO,38.3213,2015-01-09
IVV,14.1929,2015-01-09
IXI,40.8469,2015-01-09
MA,78.9773,2015-01-09
MAQ,4.4064,2015-01-09
META,77.2007,2015-01-09
MSFT,40.1786,2015-01-09
NAB,17.704,2015-01-09
NVDA,0.4784,2015-01-09
NWH,0.2589,2015-01-09
RMD,6.3005,2015-01-09
SDF,1.0845,2015-01-09
SHL,12.8457,2015-01-09
STW,31.7308,2015-01-09
TCL,5.4509,2015-01-09
TLS,3.7542,2015-01-09
TSM,16.2237,2015-01-09
VAP,42.4771,2015-01-09
VEU,40.0887,2015-01-09
WBC,18.3292,2015-01-09
WDS,19.0312,2015-01-09
WES,16.7245,2015-01-09
AGL,7.9795,2015-01-12
ALX,1.7665,2015-01-12
AMAT,20.631,2015-01-12
AMD,2.63,2015-01-12
AMZN,14.5705,2015-01-12
ANZ,19.851,2015-01-12
ASX,25.0868,2015-01-12
AUB,6.8173,2015-01-12
AVGO,7.9025,2015-01-12
AX1,0.406,2015-01-12
AZJ,2.574,2015-01-12
AZN,25.0748,2015-01-12
CBA,51.9072,2015-01-12
CCJ,13.7978,2015-01-12
CHC,2.9868,2015-01-12
CME,57.4812,2015-01-12
CSL,74.5442,2015-01-12
DXS,4.0197,2015-01-12
EQIX,167.501,2015-01-12
FTNT,6.168,2015-01-12
GNE,0.9068,2015-01-12
GOOG,24.3773,2015-01-12
GOOGL,24.6666,2015-01-12
IAA,45.6001,2015-01-12
IEU,36.9422,2015-01-12
IOO,37.5186,2015-01-12
IVV,13.9061,2015-01-12
IXI,40.213,2015-01-12
MA,77.9672,2015-01-12
MAQ,4.4064,2015-01-12
META,76.1878,2015-01-12
MSFT,39.6763,2015-01-12
